FileName,Habitat,Type,Season,Moment
01_KE-US/KE-US_20200101_000000_MN_1,1,Close,Wet,MN
01_KE-US/KE-US_20200101_090000_SR_1,1,Close,Wet,SR
01_KE-US/KE-US_20200101_120000_MD_1,1,Close,Wet,MD
01_KE-US/KE-US_20200101_150000_SS_1,1,Close,Wet,SS
01_KE-US/KE-US_20200601_010000_MN_1,1,Close,Dry,MN
01_KE-US/KE-US_20200601_040000_SR_1,1,Close,Dry,SR
01_KE-US/KE-US_20200601_130000_MD_1,1,Close,Dry,MD
01_KE-US/KE-US_20200601_220000_SS_1,1,Close,Dry,SS
02_HJ-FR/HJ-FR_20190202_000000_MN_1,2,Close,Dry,MN
02_HJ-FR/HJ-FR_20190202_071500_SR_1,2,Close,Dry,SR
02_HJ-FR/HJ-FR_20190202_130000_MD_1,2,Close,Dry,MD
02_HJ-FR/HJ-FR_20190202_174500_SS_1,2,Close,Dry,SS
02_HJ-FR/HJ-FR_20190501_010000_MN_1,2,Close,Wet,MN
02_HJ-FR/HJ-FR_20190501_050000_SR_1,2,Close,Wet,SR
02_HJ-FR/HJ-FR_20190502_134500_MD_1,2,Close,Wet,MD
02_HJ-FR/HJ-FR_20190502_200000_SS_1,2,Close,Wet,SS
03_TL-US/TL-US_LA0720120401_010000_MN_1,3,Close,Dry,MN
03_TL-US/TL-US_LA0720120401_060000_SR_1,3,Close,Dry,SR
03_TL-US/TL-US_LA0720120401_130000_MD_1,3,Close,Dry,MD
03_TL-US/TL-US_LA0720120401_190000_SS_1,3,Close,Dry,SS
03_TL-US/TL-US_LA0720120601_010000_MN_1,3,Close,Wet,MN
03_TL-US/TL-US_LA0720120601_050000_SR_1,3,Close,Wet,SR
03_TL-US/TL-US_LA0720120601_130000_MD_1,3,Close,Wet,MD
03_TL-US/TL-US_LA0720120601_200000_SS_1,3,Close,Wet,SS
04_IW-US/IW-US_20210512_000000_MN_1,4,Open,Dry,MN
04_IW-US/IW-US_20210512_040000_SR_1,4,Open,Dry,SR
04_IW-US/IW-US_20210512_110000_MD_1,4,Open,Dry,MD
04_IW-US/IW-US_20210512_180000_SS_1,4,Open,Dry,SS
04_IW-US/IW-US_20210618_000000_MN_1,4,Open,Wet,MN
04_IW-US/IW-US_20210618_040000_SR_1,4,Open,Wet,SR
04_IW-US/IW-US_20210618_110000_MD_1,4,Open,Wet,MD
04_IW-US/IW-US_20210618_190000_SS_1,4,Open,Wet,SS
05_YY-JP/YY-JP_20170401_000000_MN_1,5,Close,Wet,MN
05_YY-JP/YY-JP_20170401_050000_SR_1,5,Close,Wet,SR
05_YY-JP/YY-JP_20170401_120000_MD_1,5,Close,Wet,MD
05_YY-JP/YY-JP_20170401_180000_SS_1,5,Close,Wet,SS
05_YY-JP/YY-JP_20180101_000000_MN_1,5,Close,Dry,MN
05_YY-JP/YY-JP_20180101_060000_SR_1,5,Close,Dry,SR
05_YY-JP/YY-JP_20180101_120000_MD_1,5,Close,Dry,MD
05_YY-JP/YY-JP_20180101_170000_SS_1,5,Close,Dry,SS
06_NC-GF/NC-GF_20190401_000000_MN_1,6,Close,Wet,MN
06_NC-GF/NC-GF_20190401_060000_SR_1,6,Close,Wet,SR
06_NC-GF/NC-GF_20190401_120000_MD_1,6,Close,Wet,MD
06_NC-GF/NC-GF_20190401_180000_SS_1,6,Close,Wet,SS
06_NC-GF/NC-GF_20190901_000000_MN_1,6,Close,Dry,MN
06_NC-GF/NC-GF_20190901_050000_SR_1,6,Close,Dry,SR
06_NC-GF/NC-GF_20190901_120000_MD_1,6,Close,Dry,MD
06_NC-GF/NC-GF_20190901_180000_SS_1,6,Close,Dry,SS
07_DJ-CM/DJ-CM_20191201_000000_MN_1,7,Close,Dry,MN
07_DJ-CM/DJ-CM_20191201_050000_SR_1,7,Close,Dry,SR
07_DJ-CM/DJ-CM_20191201_110000_MD_1,7,Close,Dry,MD
07_DJ-CM/DJ-CM_20191201_170000_SS_1,7,Close,Dry,SS
07_DJ-CM/DJ-CM_20200301_000000_MN_1,7,Close,Wet,MN
07_DJ-CM/DJ-CM_20200301_050000_SR_1,7,Close,Wet,SR
07_DJ-CM/DJ-CM_20200301_110000_MD_1,7,Close,Wet,MD
07_DJ-CM/DJ-CM_20200301_170000_SS_1,7,Close,Wet,SS
08_CS-BR/CS-BR_20170101_010000_MN_1,8,Open,Wet,MN
08_CS-BR/CS-BR_20170101_060000_SR_1,8,Open,Wet,SR
08_CS-BR/CS-BR_20170101_120000_MD_1,8,Open,Wet,MD
08_CS-BR/CS-BR_20170101_190000_SS_1,8,Open,Wet,SS
08_CS-BR/CS-BR_20170801_000000_MN_1,8,Open,Dry,MN
08_CS-BR/CS-BR_20170801_060000_SR_1,8,Open,Dry,SR
08_CS-BR/CS-BR_20170801_110000_MD_1,8,Open,Dry,MD
08_CS-BR/CS-BR_20170801_172000_SS_1,8,Open,Dry,SS
09_WD-AU/WD-AU_20150701_00_MN_1,9,Close,Dry,MN
09_WD-AU/WD-AU_20150701_06_SR_1,9,Close,Dry,SR
09_WD-AU/WD-AU_20150701_11_MD_1,9,Close,Dry,MD
09_WD-AU/WD-AU_20150701_16_SS_1,9,Close,Dry,SS
09_WD-AU/WD-AU_20160101_00_MN_1,9,Close,Wet,MN
09_WD-AU/WD-AU_20160101_04_SR_1,9,Close,Wet,SR
09_WD-AU/WD-AU_20160101_11_MD_1,9,Close,Wet,MD
09_WD-AU/WD-AU_20160101_18_SS_1,9,Close,Wet,SS
